Name of Shower,Start Date,End Date,Maximum,Theo RA,Theo Dec
Orionids,2009/10/02,2009/11/07,2009/10/21,95,16
Leonids,2009/11/10,2009/11/23,2009/11/17,152,22
Geminids_b,2009/12/07,2009/12/17,2009/12/14,112,33
Quadrantids,2009/12/28,2010/01/12,2010/01/03,230,49
Lyrids_a,2010/04/16,2010/05/25,2010/04/22,271,34
Perseids,2010/07/17,2010/08/24,2010/08/12,48,58
Orionids,2010/10/02,2010/11/07,2010/10/21,95,16
Leonids,2010/11/10,2010/11/23,2010/11/17,152,22
Geminids_b,2010/11/28,2010/12/17,2010/12/14,112,33
Quadrantids,2010/12/28,2011/01/12,2011/01/04,230,49
Lyrids_a,2011/04/16,2011/05/25,2011/04/22,271,34
Perseids,2011/07/17,2011/08/24,2011/08/13,48,58
Orionids,2011/10/02,2011/11/07,2011/10/21,95,16
Leonids,2011/11/06,2011/11/30,2011/11/18,152,22
Geminids_b,2011/12/04,2011/12/17,2011/12/14,112,33
Quadrantids,2011/12/28,2012/01/12,2012/01/04,230,49
Lyrids_a,2012/04/16,2012/05/25,2012/04/22,271,34
Perseids,2012/07/17,2012/08/24,2012/08/12,48,58
Orionids,2012/10/02,2012/11/07,2012/10/21,95,16
Leonids,2012/11/06,2012/11/30,2012/11/17,152,22
Geminids_b,2012/12/04,2012/12/17,2012/12/13,112,33
Quadrantids,2012/12/28,2013/01/12,2013/01/03,230,49
Lyrids_a,2013/04/16,2013/05/25,2013/04/22,271,34
Perseids,2013/07/17,2013/08/24,2013/08/12,48,58
Orionids,2013/10/02,2013/11/07,2013/10/21,95,16
Leonids,2013/11/06,2013/11/30,2013/11/17,152,22
Geminids_b,2013/12/04,2013/12/17,2013/12/14,112,33
Quadrantids,2013/12/28,2014/01/12,2014/01/03,230,49
Lyrids_a,2014/04/16,2014/04/25,2014/04/22,271,34
Perseids,2014/07/17,2014/08/24,2014/08/13,48,58
Orionids,2014/10/02,2014/11/07,2014/10/21,95,16
Leonids,2014/11/06,2014/11/30,2014/11/17,152,22
Geminids_b,2014/12/04,2014/12/17,2014/12/14,112,33
